id,name,website,lat,long,primary_poc,sales_rep_id
1001.0,Walmart,www.walmart.com,40.23849561,-75.10329704,Tamara Tuma,321500.0
1011.0,Exxon Mobil,www.exxonmobil.com,41.1691563,-73.84937379,Sung Shields,321510.0
1021.0,Apple,www.apple.com,42.29049481,-76.08400942,Jodee Lupo,321520.0
1031.0,Berkshire Hathaway,www.berkshirehathaway.com,40.94902131,-75.76389759,Serafina Banda,321530.0
1041.0,McKesson,www.mckesson.com,42.21709326,-75.28499823,Angeles Crusoe,321540.0
1051.0,UnitedHealth Group,www.unitedhealthgroup.com,40.08792542,-75.57569396,Savanna Gayman,321550.0
1061.0,CVS Health,www.cvshealth.com,41.46779585,-73.76763638,Anabel Haskell,321560.0
1071.0,General Motors,www.gm.com,40.80551762,-76.7101814,Barrie Omeara,321570.0
1081.0,Ford Motor,www.ford.com,41.113942,-75.85422452,Kym Hagerman,321580.0
1091.0,AT&T,www.att.com,42.4974627,-74.90271225,Jamel Mosqueda,321590.0
1101.0,General Electric,www.ge.com,41.1697121,-77.29713174,Parker Hoggan,321600.0
1111.0,AmerisourceBergen,www.amerisourcebergen.com,41.91146908,-74.4762077,Tuan Trainer,321610.0
1121.0,Verizon,www.verizon.com,41.3414106,-75.77193559,Chantell Drescher,321620.0
1131.0,Chevron,www.chevron.com,42.6119413,-76.36123105,Paige Bartos,321630.0
1141.0,Costco,www.costco.com,42.26304566,-74.80916921,Dominique Favela,321640.0
1151.0,Fannie Mae,www.fanniemae.com,41.40919044,-73.95770097,Terrilyn Kesler,321650.0
1161.0,Kroger,www.thekrogerco.com,42.57610194,-76.35945488,Nannie Brinkman,321660.0
1171.0,Amazon.com,www.amazon.com,42.03552936,-77.08453787,Buffy Azure,321670.0
1181.0,Walgreens Boots Alliance,www.walgreensbootsalliance.com,41.76033082,-75.76168171,Esta Engelhardt,321680.0
1191.0,HP,www.hp.com,41.01091302,-74.38047472,Khadijah Riemann,321690.0
1201.0,Cardinal Health,www.cardinal.com,41.31906537,-77.52512192,Deanne Hertlein,321700.0
1211.0,Express Scripts Holding,www.express-scripts.com,41.47633009,-76.07993254,Jewell Likes,321500.0
1221.0,J.P. Morgan Chase,www.jpmorganchase.com,40.39050914,-74.35128299,Florentino Madrigal,321510.0
1231.0,Boeing,www.boeing.com,40.23107071,-76.51519085,Melva Lyall,321520.0
1241.0,Microsoft,www.microsoft.com,41.80083073,-74.01331115,Dennise Hungate,321530.0
1251.0,Bank of America Corp.,www.bankofamerica.com,41.58226327,-74.03976515,Janise Voth,321540.0
1261.0,Wells Fargo,www.wellsfargo.com,42.29559131,-76.35302092,Lakenya Volker,321550.0
1271.0,Home Depot,www.homedepot.com,41.38089123,-75.49637851,Alexandria Zielke,321560.0
1281.0,Citigroup,www.citigroup.com,40.85305429,-76.49044823,Bea Sera,321570.0
1291.0,Phillips 66,www.phillips66.com,42.63789896,-76.16215145,Maria Garibay,321580.0
1301.0,IBM,www.ibm.com,40.74381454,-76.80764423,Denis Gros,321590.0
1311.0,Valero Energy,www.valero.com,41.73014984,-76.37600422,Taylor Capone,321600.0
